,PRICE,ROUNDED_NOTIONAL_AMOUNT_1,ACTION_CANCEL,ACTION_CORRECT,ACTION_NEW,TAXONOMY_Credit:Index:CDX:CDXHY,TAXONOMY_Credit:Index:CDX:CDXIG,PRICE_FORMING_CONTINUATION_DATA_Amendment,PRICE_FORMING_CONTINUATION_DATA_Novation,PRICE_FORMING_CONTINUATION_DATA_Partialtermination,PRICE_FORMING_CONTINUATION_DATA_Trade,CLEARED_C,CLEARED_U,INDICATION_OF_COLLATERALIZATION_FC,INDICATION_OF_COLLATERALIZATION_OC,INDICATION_OF_COLLATERALIZATION_PC,INDICATION_OF_COLLATERALIZATION_UC
974784,0.5415999984741211,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974785,0.6268999862670899,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974786,105.87999725341797,5.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
974787,362.9800109863281,5.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
974788,105.87999725341797,5.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
974789,362.9800109863281,5.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
974792,105.87999725341797,5.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
974793,362.9800109863281,5.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
974797,3.611719970703125,15.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
974800,3.589718933105469,15.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
975004,0.6317499923706055,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
975013,0.6317499923706055,110.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
975033,5.0,2.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
975035,5.0,1.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
975046,0.6038899993896485,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
975051,0.6038899993896485,110.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
975065,0.6225,110.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
975076,0.6225,110.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
975077,0.6225,110.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
975098,0.6886000061035156,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
975191,0.6512000274658203,20.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
975199,0.6,110.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
975298,0.6886000061035156,110.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
975328,0.6120000076293945,20.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
975343,0.6120000076293945,20.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
975344,0.6120000076293945,20.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
975413,0.4,180.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
975416,0.54,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
975464,107.63500213623047,25.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
975465,107.6500015258789,50.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
975470,0.4,180.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
975471,0.4,180.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
975498,1.0,10.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
975502,107.6500015258789,50.0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
975503,107.6500015258789,50.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
975523,0.6082500076293945,0.035,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
975524,0.6082500076293945,0.015,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
975525,107.6449966430664,22.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
975746,0.87,50.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
975747,0.87,50.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
975760,0.87,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
975799,0.9325,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
975878,1.0,88.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
975976,0.535,50.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
976009,0.37,71.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
976096,1.0,18.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
976130,0.916875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976133,0.916875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976176,0.43,17.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
976197,1.03,18.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
976278,100.12000274658203,3.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
976284,0.9325,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976322,0.92875,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976393,0.9279689788818359,50.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976400,0.9312854766845703,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976425,0.93,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976435,0.93,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976436,0.93,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976464,102.91999816894531,15.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
976504,0.930625,25.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976505,0.930625,25.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976533,0.9318460083007812,40.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976544,0.8876000213623046,82.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976545,0.9325,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976548,104.3550033569336,1.0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
976549,0.9325,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976552,0.8876000213623046,55.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976560,0.93125,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976571,4.250823059082031,10.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
976580,99.91000366210938,5.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
976583,4.9234521484375,10.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
976584,4.92843994140625,20.0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
976621,104.3550033569336,1.0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
976623,102.91999816894531,15.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
976624,102.91999816894531,15.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
976733,0.786875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976748,0.785625,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976756,0.786875,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976800,0.7868000030517578,80.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
976817,0.774375,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976864,0.7775,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
976865,0.7775,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
